window_start_idx,window_end_idx,start_time,end_time,predicted_class,class_name,confidence
1010,1522,1970-01-01 00:28:24.432000,1970-01-01 00:28:24.758100,-1,Unclassified,0.445299357175827
1020,1532,1970-01-01 00:28:24.435000,1970-01-01 00:28:24.761100,-1,Unclassified,0.29870912432670593
1030,1542,1970-01-01 00:28:24.438000,1970-01-01 00:28:24.764100,-1,Unclassified,0.40418440103530884
1040,1552,1970-01-01 00:28:24.441000,1970-01-01 00:28:24.767100,-1,Unclassified,0.3715023696422577
1050,1562,1970-01-01 00:28:24.444000,1970-01-01 00:28:24.770100,-1,Unclassified,0.47252920269966125
1060,1572,1970-01-01 00:28:24.447000,1970-01-01 00:28:24.773100,-1,Unclassified,0.36865806579589844
1070,1582,1970-01-01 00:28:24.450000,1970-01-01 00:28:24.776100,-1,Unclassified,0.45480233430862427
1080,1592,1970-01-01 00:28:24.453000,1970-01-01 00:28:24.779100,-1,Unclassified,0.300561785697937
1090,1602,1970-01-01 00:28:24.456000,1970-01-01 00:28:24.782100,-1,Unclassified,0.45510825514793396
1100,1612,1970-01-01 00:28:24.459000,1970-01-01 00:28:24.785100,-1,Unclassified,0.31567949056625366
1110,1622,1970-01-01 00:28:24.462000,1970-01-01 00:28:24.788100,-1,Unclassified,0.3946002721786499
1120,1632,1970-01-01 00:28:24.465000,1970-01-01 00:28:24.791100,-1,Unclassified,0.5448489189147949
1130,1642,1970-01-01 00:28:24.468000,1970-01-01 00:28:24.794100,-1,Unclassified,0.3661474287509918
1140,1652,1970-01-01 00:28:24.471000,1970-01-01 00:28:24.797100,-1,Unclassified,0.45957431197166443
1150,1662,1970-01-01 00:28:24.474000,1970-01-01 00:28:24.800100,-1,Unclassified,0.282265841960907
1160,1672,1970-01-01 00:28:24.477000,1970-01-01 00:28:24.803100,-1,Unclassified,0.30494260787963867
1170,1682,1970-01-01 00:28:24.480000,1970-01-01 00:28:24.806100,-1,Unclassified,0.2573094666004181
1180,1692,1970-01-01 00:28:24.483000,1970-01-01 00:28:24.809100,-1,Unclassified,0.2973373830318451
1190,1702,1970-01-01 00:28:24.486000,1970-01-01 00:28:24.812100,-1,Unclassified,0.2586544454097748
1200,1712,1970-01-01 00:28:24.489000,1970-01-01 00:28:24.815100,-1,Unclassified,0.28128910064697266
1210,1722,1970-01-01 00:28:24.664800,1970-01-01 00:28:24.818100,-1,Unclassified,0.33791792392730713
1220,1732,1970-01-01 00:28:24.667800,1970-01-01 00:28:24.821100,-1,Unclassified,0.28042739629745483
1230,1742,1970-01-01 00:28:24.670800,1970-01-01 00:28:24.824100,-1,Unclassified,0.24712172150611877
1240,1752,1970-01-01 00:28:24.673800,1970-01-01 00:28:24.827100,-1,Unclassified,0.2656155824661255
1250,1762,1970-01-01 00:28:24.676800,1970-01-01 00:28:24.830100,-1,Unclassified,0.27098509669303894
1260,1772,1970-01-01 00:28:24.679800,1970-01-01 00:28:24.833100,-1,Unclassified,0.266950786113739
1270,1782,1970-01-01 00:28:24.682800,1970-01-01 00:28:24.836100,-1,Unclassified,0.3039492964744568
1280,1792,1970-01-01 00:28:24.685800,1970-01-01 00:28:24.839100,-1,Unclassified,0.33563414216041565
1290,1802,1970-01-01 00:28:24.688800,1970-01-01 00:28:24.842100,-1,Unclassified,0.3222731053829193
1300,1812,1970-01-01 00:28:24.691800,1970-01-01 00:28:24.845100,-1,Unclassified,0.3111732006072998
1310,1822,1970-01-01 00:28:24.694800,1970-01-01 00:28:24.848100,-1,Unclassified,0.28407394886016846
1320,1832,1970-01-01 00:28:24.697800,1970-01-01 00:28:24.851100,-1,Unclassified,0.27572235465049744
1330,1842,1970-01-01 00:28:24.700800,1970-01-01 00:28:24.854100,-1,Unclassified,0.3052370846271515
1340,1852,1970-01-01 00:28:24.703800,1970-01-01 00:28:24.857100,-1,Unclassified,0.32689759135246277
1350,1862,1970-01-01 00:28:24.706800,1970-01-01 00:28:24.860100,-1,Unclassified,0.2932334244251251
1360,1872,1970-01-01 00:28:24.709800,1970-01-01 00:28:24.863100,-1,Unclassified,0.23041220009326935
1370,1882,1970-01-01 00:28:24.712800,1970-01-01 00:28:24.866100,-1,Unclassified,0.2541465163230896
1380,1892,1970-01-01 00:28:24.715800,1970-01-01 00:28:24.869100,-1,Unclassified,0.24096719920635223
1390,1902,1970-01-01 00:28:24.718800,1970-01-01 00:28:24.872100,-1,Unclassified,0.2188018262386322
1400,1912,1970-01-01 00:28:24.721800,1970-01-01 00:28:24.875100,-1,Unclassified,0.2901756763458252
1410,1922,1970-01-01 00:28:24.724800,1970-01-01 00:28:24.878100,-1,Unclassified,0.2564036250114441
1420,1932,1970-01-01 00:28:24.727800,1970-01-01 00:28:24.881100,-1,Unclassified,0.4243599772453308
1430,1942,1970-01-01 00:28:24.730800,1970-01-01 00:28:24.884100,-1,Unclassified,0.40665683150291443
1440,1952,1970-01-01 00:28:24.733800,1970-01-01 00:28:24.887100,-1,Unclassified,0.40160173177719116
1450,1962,1970-01-01 00:28:24.736800,1970-01-01 00:28:24.890100,-1,Unclassified,0.36955562233924866
1460,1972,1970-01-01 00:28:24.739800,1970-01-01 00:28:24.893100,-1,Unclassified,0.24815773963928223
1470,1982,1970-01-01 00:28:24.742800,1970-01-01 00:28:24.896100,-1,Unclassified,0.3704109191894531
1480,1992,1970-01-01 00:28:24.745800,1970-01-01 00:28:24.899100,-1,Unclassified,0.2782408595085144
1490,2002,1970-01-01 00:28:24.748800,1970-01-01 00:28:24.902100,-1,Unclassified,0.45580416917800903
1500,2012,1970-01-01 00:28:24.751800,1970-01-01 00:28:24.905100,-1,Unclassified,0.42982885241508484
1510,2022,1970-01-01 00:28:24.754800,1970-01-01 00:28:24.908100,-1,Unclassified,0.24787157773971558
1520,2032,1970-01-01 00:28:24.757800,1970-01-01 00:28:24.911100,-1,Unclassified,0.35526955127716064
1530,2042,1970-01-01 00:28:24.760800,1970-01-01 00:28:24.914100,-1,Unclassified,0.2636635899543762
1540,2052,1970-01-01 00:28:24.763800,1970-01-01 00:28:24.917100,-1,Unclassified,0.31485626101493835
1550,2062,1970-01-01 00:28:24.766800,1970-01-01 00:28:24.920100,-1,Unclassified,0.31933870911598206
1560,2072,1970-01-01 00:28:24.769800,1970-01-01 00:28:24.923100,-1,Unclassified,0.2919236123561859
1570,2082,1970-01-01 00:28:24.772800,1970-01-01 00:28:24.926100,-1,Unclassified,0.3051464259624481
1580,2092,1970-01-01 00:28:24.775800,1970-01-01 00:28:24.929100,-1,Unclassified,0.31293031573295593
