timestamp,open,high,low,close
1705291200000,1.0964,1.0965,1.0957,1.09628
1705294800000,1.09629,1.0966,1.0959,1.0964
1705298400000,1.0964,1.0967,1.0961,1.09638
1705302000000,1.09638,1.09662,1.095,1.09532
1705305600000,1.09534,1.09652,1.0952,1.09581
1705309200000,1.09581,1.09589,1.0942,1.09465
1705312800000,1.09466,1.09468,1.0932,1.09395
1705316400000,1.09397,1.0949,1.0939,1.09454
1705320000000,1.09447,1.09587,1.0943,1.09537
1705323600000,1.09535,1.09544,1.0943,1.095
1705327200000,1.09504,1.09518,1.0937,1.0943
1705330800000,1.09432,1.0951,1.0937,1.09497
1705334400000,1.09496,1.0953,1.0945,1.0947
1705338000000,1.09471,1.0953,1.0945,1.0948
1705341600000,1.09474,1.09528,1.0946,1.09527
1705345200000,1.09523,1.0954,1.0948,1.09503
1705348800000,1.09505,1.0952,1.0947,1.09516
1705352400000,1.09513,1.0953,1.09469,1.09469
1705356000000,1.09469,1.0954,1.09456,1.09488
1705359600000,1.09484,1.0952,1.0943,1.09446
1705363200000,1.09448,1.09462,1.0918,1.09195
1705366800000,1.09198,1.0932,1.0914,1.09274
1705370400000,1.09275,1.0928,1.092,1.09238
1705374000000,1.09239,1.0926,1.0915,1.09187
1705377600000,1.09188,1.0921,1.0912,1.09175
1705381200000,1.09174,1.09186,1.0911,1.09152
1705384800000,1.09147,1.0922,1.0911,1.09173
1705388400000,1.09174,1.0927,1.0908,1.09185
1705392000000,1.09181,1.0924,1.08944,1.09048
1705395600000,1.09032,1.0904,1.0882,1.08862
1705399200000,1.08863,1.08896,1.0878,1.08812
1705402800000,1.08813,1.0895,1.0873,1.08919
1705406400000,1.08918,1.08934,1.0882,1.08858
1705410000000,1.08858,1.0898,1.087,1.08738
1705413600000,1.08736,1.08892,1.0866,1.08721
1705417200000,1.08724,1.0889,1.0865,1.08858
1705420800000,1.08858,1.0895,1.0862,1.08809
1705424400000,1.08808,1.08829,1.0861,1.08623
1705428000000,1.08631,1.0877,1.0862,1.087
1705431600000,1.08697,1.0875,1.0866,1.08736
1705435200000,1.08734,1.0876,1.0869,1.08714
1705438800000,1.08717,1.0878,1.087,1.08747
1705442400000,1.0877,1.0883,1.08671,1.08769
1705446000000,1.08773,1.0879,1.0874,1.08783
1705449600000,1.08785,1.088,1.0871,1.08776
